,0
id,11522046
token,11522046
entreprise_id,2610
lien_interet,3
identifiant_unique,10991710
convention_liee,1974047
motif_lien_interet_code,44
motif_lien_interet,48
autre_motif,17041
information_evenement,296396
montant,51258
date,3943
date_debut,4125
date_fin,5327
id_beneficiaire,1284328
identite,481334
prenom,101658
beneficiaire_categorie_code,15
beneficiaire_categorie,15
beneficiaire_type_code,5
beneficiaire_type,5
beneficiaire_identifiant,498118
beneficiaire_profession_code,49
profession_libelle,25
structure_exercice,49919
pays_code,103
adresse,1049894
code_postal,16266
ville,59116
demande_de_rectification,3
statut,2
date_publication,1499
date_transmission,2265
raison_sociale,2654
secteur_activite,20
entr_ville,1573
entr_dep_name,89
entr_reg_name,18
entreprise_nom_pays,104
mere_id,169
code_postal_entreprise,1626
numero_siren,3185
ville_sanscedex,56461
geom,211858
com_name,13797
com_code,14176
epci_name,1269
epci_code,1256
dep_code,118
dep_name,108
reg_code,26
reg_name,26
beneficiaire_nom_prenom_com_name,1974105
semestre_annee,22
beneficiaire_nom_pays,104
